House_Type,Family_Members,Number_of_Rooms,AC_Units,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,TV_Usage_Hours,Iron_Usage_Hours,Kitchen_Appliance_Hours,Daily_Appliance_Count,Outdoor_Temperature_C,Day_of_Week,Is_Weekend,Season,Is_Holiday,Daily_Electricity_Consumption_kWh,House_Type_enc,Day_of_Week_enc,Season_enc
Independent House,5,2,0,0.0,13.44,24,1.39,0.85,2.25,6.78,0.52,2.29,12,38.9,Sunday,1,Summer,0,12.18,2,3,2
Portion/Rented Unit,8,5,2,5.36,11.89,24,0.04,1.24,5.59,7.61,0.57,0.88,14,38.9,Monday,0,Summer,0,19.98,3,1,2
Portion/Rented Unit,3,2,2,4.0,12.81,24,1.0,0.45,8.03,6.34,0.27,2.48,10,42.2,Wednesday,0,Summer,0,19.8,3,6,2
Bungalow,4,2,2,1.73,12.01,24,0.34,0.65,4.43,3.36,0.78,1.64,14,27.7,Wednesday,0,Spring,0,21.18,1,6,1
Independent House,5,4,1,1.09,15.19,24,0.02,1.95,6.97,5.1,0.09,1.05,5,28.8,Thursday,0,Spring,0,13.17,2,4,1
Independent House,6,6,3,0.0,7.81,24,0.62,0.56,7.27,7.88,0.23,0.6,10,10.8,Saturday,1,Winter,0,10.26,2,2,3
Apartment,2,3,1,1.47,8.41,24,0.08,1.22,7.47,3.89,0.23,2.43,14,4.5,Wednesday,0,Winter,0,10.17,0,6,3
Apartment,4,3,3,2.42,9.74,24,0.86,1.39,6.83,2.1,0.37,2.07,7,37.2,Monday,0,Summer,0,16.67,0,1,2
Bungalow,9,2,0,0.0,9.08,24,0.94,1.29,6.61,6.91,0.01,2.31,13,26.7,Saturday,1,Summer,0,19.66,1,2,2
Portion/Rented Unit,7,4,3,4.82,9.77,24,0.74,1.8,8.25,1.74,0.94,1.18,6,35.2,Friday,0,Summer,0,23.86,3,0,2
Apartment,2,5,0,0.0,7.22,24,0.07,2.07,5.07,6.4,0.22,1.11,13,33.2,Monday,0,Summer,0,8.88,0,1,2
Apartment,5,5,0,0.0,7.89,24,1.69,1.67,7.01,5.63,0.89,2.66,8,32.6,Friday,0,Monsoon,0,11.06,0,0,0
Apartment,6,3,3,10.66,9.7,24,0.29,1.41,2.38,5.27,0.38,1.88,13,38.9,Friday,0,Summer,0,39.55625,0,0,2
Independent House,2,1,0,0.0,8.6,24,0.37,1.66,6.42,4.67,1.2,1.72,7,22.6,Friday,0,Spring,0,12.58,2,0,1
Apartment,5,4,1,0.0,5.78,24,0.46,1.06,3.17,6.6,0.28,2.58,7,23.3,Friday,0,Spring,0,9.15,0,0,1
Portion/Rented Unit,5,4,0,0.0,12.93,24,3.17,0.0,5.87,2.86,0.02,2.7,11,28.8,Thursday,0,Monsoon,0,11.22,3,4,0
Independent House,8,3,2,5.88,8.52,24,0.12,0.56,7.32,3.28,0.28,0.0,8,34.5,Monday,0,Summer,0,24.93,2,1,2
Apartment,2,3,0,0.0,5.98,24,0.22,0.0,8.17,3.95,0.61,2.18,10,8.0,Friday,0,Winter,0,7.03,0,0,3
Apartment,6,5,3,3.14,10.57,24,0.33,1.02,5.08,5.88,0.01,1.03,6,38.5,Tuesday,0,Summer,0,18.88,0,5,2
Bungalow,4,5,1,0.89,10.54,24,0.74,0.59,9.39,6.4,0.47,1.81,5,22.2,Monday,0,Spring,1,15.0,1,1,1
Independent House,2,3,3,5.64,14.75,24,3.0,0.05,5.95,5.62,0.02,4.46,9,28.6,Saturday,1,Monsoon,0,39.55625,2,2,0
Apartment,9,3,0,0.0,13.91,24,0.05,1.46,4.95,2.18,0.12,3.17,13,42.4,Tuesday,0,Summer,0,13.65,0,5,2
Apartment,2,3,1,2.32,2.58,24,0.85,1.71,10.21,2.47,0.1,1.68,6,15.4,Wednesday,0,Winter,0,8.46,0,6,3
Independent House,7,4,2,5.82,14.86,24,0.4,0.72,6.41,6.63,0.8,4.23,13,32.3,Monday,0,Monsoon,0,31.21,2,1,0
Apartment,3,1,1,9.89,6.3,24,0.85,1.4,7.74,1.63,0.02,2.05,11,34.5,Friday,0,Summer,0,22.86,0,0,2
Portion/Rented Unit,9,2,0,0.0,7.76,24,0.24,1.97,6.95,1.66,0.33,2.73,9,5.7,Wednesday,0,Winter,0,9.62,3,6,3
Apartment,2,5,1,8.71,6.94,24,0.65,1.28,3.93,4.0,0.36,1.69,12,37.5,Tuesday,0,Monsoon,0,18.47,0,5,0
Portion/Rented Unit,8,4,0,0.0,12.12,24,1.35,1.33,6.02,3.35,0.44,1.36,6,43.2,Wednesday,0,Summer,0,7.62,3,6,2
Portion/Rented Unit,5,2,1,2.25,8.39,24,0.05,0.58,8.16,4.0,0.12,0.77,7,28.3,Friday,0,Spring,0,8.47,3,0,1
Apartment,6,4,1,1.35,17.6,24,0.57,1.44,3.05,4.77,0.09,3.37,8,29.0,Sunday,1,Spring,0,13.08,0,3,1
Portion/Rented Unit,8,3,1,0.0,12.41,24,0.96,1.31,5.58,6.72,0.39,3.42,8,22.5,Sunday,1,Spring,0,9.75,3,3,1
Bungalow,4,3,2,1.12,5.33,24,3.27,1.76,10.12,2.31,0.04,1.09,12,24.9,Monday,0,Spring,0,20.22,1,1,1
Bungalow,8,4,0,0.0,11.99,24,2.22,0.19,7.94,4.41,0.0,2.74,7,23.3,Saturday,1,Spring,0,18.56,1,2,1
Apartment,7,5,1,5.06,8.77,24,0.63,0.67,7.88,7.02,0.19,2.99,9,30.8,Saturday,1,Monsoon,0,18.81,0,2,0
Apartment,5,3,1,3.36,8.25,24,0.01,2.26,8.83,5.01,0.11,0.43,11,17.0,Tuesday,0,Winter,0,12.04,0,5,3
Portion/Rented Unit,4,4,2,9.19,15.64,24,2.04,0.0,4.35,4.72,0.2,1.52,5,31.9,Sunday,1,Summer,0,28.73,3,3,2
Portion/Rented Unit,8,4,0,0.0,5.62,24,0.44,1.01,6.96,5.24,0.34,1.11,11,31.2,Tuesday,0,Monsoon,1,3.93,3,5,0
Portion/Rented Unit,2,3,0,0.0,12.53,24,1.63,1.22,7.83,4.05,0.16,1.26,10,31.9,Friday,0,Monsoon,0,6.08,3,0,0
Independent House,4,6,3,5.69,13.57,24,1.61,1.91,4.5,4.88,0.09,4.68,10,41.9,Saturday,1,Summer,0,39.55625,2,2,2
Portion/Rented Unit,8,2,0,0.0,6.38,24,0.97,0.58,7.21,6.94,0.19,1.97,13,26.8,Monday,0,Monsoon,0,9.65,3,1,0
Portion/Rented Unit,2,5,3,4.06,13.38,24,2.48,1.57,10.51,4.32,0.26,3.21,12,41.7,Friday,0,Summer,0,23.68,3,0,2
Portion/Rented Unit,7,3,1,0.31,5.97,24,0.56,0.33,6.69,6.08,0.26,3.07,7,17.7,Thursday,0,Winter,0,8.63,3,4,3
Apartment,3,4,1,0.35,11.74,24,1.33,2.13,4.76,6.09,0.04,1.14,9,27.1,Monday,0,Spring,1,10.59,0,1,1
Independent House,8,5,1,3.38,4.48,24,0.01,1.07,10.1,7.31,0.05,1.63,6,5.0,Thursday,0,Winter,0,15.73,2,4,3
Apartment,4,4,1,8.92,13.02,24,0.4,1.58,5.7,4.25,0.24,0.72,9,30.7,Friday,0,Monsoon,0,16.93,0,0,0
Apartment,5,3,1,0.81,10.5,24,0.81,0.73,9.31,5.87,0.43,0.69,7,7.6,Sunday,1,Winter,0,9.49,0,3,3
Apartment,4,1,0,0.0,7.89,24,2.27,0.48,4.87,2.11,0.21,1.76,14,31.4,Wednesday,0,Spring,0,9.88,0,6,1
Portion/Rented Unit,8,2,0,0.0,7.3,24,0.03,2.88,3.58,6.86,0.19,1.16,5,28.8,Friday,0,Monsoon,0,6.85,3,0,0
Portion/Rented Unit,2,1,1,2.49,7.07,24,0.02,1.49,8.39,5.55,1.11,0.95,5,10.6,Wednesday,0,Winter,0,9.07,3,6,3
Portion/Rented Unit,6,4,1,2.87,12.31,24,0.1,1.26,7.28,4.56,0.47,2.62,10,18.7,Wednesday,0,Winter,0,11.95,3,6,3
Apartment,2,3,2,5.53,8.26,24,2.38,1.98,6.81,2.32,0.46,1.32,13,35.5,Monday,0,Summer,0,23.35,0,1,2
Apartment,6,4,3,0.0,7.36,24,0.85,1.8,5.05,7.39,0.03,1.09,8,26.6,Saturday,1,Monsoon,0,7.31,0,2,0
Portion/Rented Unit,7,3,1,10.68,10.52,24,0.89,1.91,9.67,0.46,0.11,0.77,14,35.1,Friday,0,Summer,0,19.35,3,0,2
Apartment,8,6,1,6.48,8.33,24,0.01,2.06,5.96,3.5,0.2,2.51,5,29.3,Wednesday,0,Monsoon,0,16.6,0,6,0
Portion/Rented Unit,3,3,2,2.27,8.84,24,2.39,1.98,5.69,4.6,0.0,3.81,14,27.7,Tuesday,0,Spring,0,16.97,3,5,1
Apartment,7,4,1,0.6,9.13,24,2.14,0.5,4.98,5.63,0.04,2.9,9,12.0,Saturday,1,Winter,1,12.47,0,2,3
Independent House,3,5,0,0.0,9.12,24,0.1,0.72,5.38,6.09,0.68,2.93,11,40.7,Wednesday,0,Summer,0,11.83,2,6,2
Portion/Rented Unit,9,7,1,0.15,5.04,24,0.89,1.29,9.48,1.85,1.2,2.7,14,4.7,Wednesday,0,Winter,0,11.6,3,6,3
Apartment,8,4,2,10.3,9.22,24,0.94,1.8,1.0,3.96,0.28,1.05,14,38.3,Tuesday,0,Summer,0,36.09,0,5,2
Independent House,6,4,2,0.0,8.25,24,0.11,0.91,6.33,4.47,0.0,2.12,9,23.2,Tuesday,0,Spring,0,12.83,2,5,1
Apartment,5,4,1,7.17,18.94,24,0.19,1.43,5.18,5.57,0.36,2.61,8,42.3,Friday,0,Summer,0,16.65,0,0,2
Independent House,9,3,2,0.78,12.08,24,1.78,2.08,5.69,3.71,0.25,2.16,5,26.2,Thursday,0,Spring,0,15.42,2,4,1
Apartment,8,4,1,5.76,15.76,24,0.36,1.21,3.74,3.87,0.43,0.93,12,29.1,Monday,0,Monsoon,0,15.3,0,1,0
Portion/Rented Unit,4,5,0,0.0,10.95,24,3.76,2.61,7.66,5.29,0.43,2.04,7,38.5,Sunday,1,Summer,0,7.32,3,3,2
Independent House,3,1,1,6.6,10.36,24,0.97,1.39,8.73,6.06,0.35,2.81,12,38.0,Sunday,1,Summer,0,24.28,2,3,2
Apartment,7,8,0,0.0,12.92,24,0.51,0.98,2.33,8.69,0.15,1.36,11,32.3,Sunday,1,Monsoon,0,11.92,0,3,0
Apartment,7,4,1,5.24,10.88,24,0.13,0.88,3.89,7.59,0.07,2.37,9,34.8,Tuesday,0,Monsoon,0,16.49,0,5,0
Apartment,9,3,0,0.0,9.85,24,0.26,0.91,8.29,7.22,0.04,2.9,5,7.3,Thursday,0,Winter,0,7.98,0,4,3
Bungalow,9,5,2,6.2,8.97,24,0.56,1.48,3.75,5.88,0.09,4.15,11,30.3,Monday,0,Monsoon,0,39.55625,1,1,0
Apartment,2,8,2,6.13,10.3,24,0.79,2.05,6.59,5.46,1.29,3.39,13,32.6,Monday,0,Monsoon,0,28.82,0,1,0
Independent House,9,3,0,0.0,10.62,24,0.77,1.63,8.24,4.06,0.11,4.63,5,9.3,Saturday,1,Winter,0,17.88,2,2,3
Portion/Rented Unit,6,4,2,6.19,16.16,24,0.8,1.3,6.08,5.88,0.08,1.31,10,30.9,Wednesday,0,Monsoon,0,23.76,3,6,0
Bungalow,9,3,1,0.94,8.59,24,1.72,0.28,4.47,4.91,0.32,2.61,11,12.4,Saturday,1,Winter,0,19.94,1,2,3
Apartment,9,4,2,11.49,13.83,24,0.62,0.9,6.3,6.41,0.06,1.78,11,33.7,Sunday,1,Summer,0,39.55625,0,3,2
Portion/Rented Unit,4,4,3,0.95,11.83,24,0.49,2.18,6.62,5.29,0.09,1.84,12,25.0,Monday,0,Spring,0,12.96,3,1,1
Independent House,3,6,0,0.0,6.49,24,0.44,1.6,8.9,4.44,0.05,1.22,6,4.6,Monday,0,Winter,0,9.04,2,1,3
Independent House,3,4,2,0.66,9.35,24,1.21,0.61,8.2,3.45,0.91,3.7,13,8.0,Monday,0,Winter,0,16.9,2,1,3
Apartment,4,3,0,0.0,16.22,24,0.63,0.12,9.31,4.52,0.13,2.54,14,13.8,Saturday,1,Winter,0,10.54,0,2,3
Portion/Rented Unit,4,4,2,10.09,8.34,24,1.48,0.38,6.84,7.91,0.59,2.34,6,29.2,Sunday,1,Monsoon,0,32.52,3,3,0
Apartment,9,4,2,1.65,12.05,24,0.86,0.65,11.03,4.38,0.26,3.0,12,14.4,Monday,0,Winter,0,14.6,0,1,3
Independent House,5,6,1,1.1,6.3,24,0.62,1.28,8.51,5.27,0.24,4.39,14,13.5,Tuesday,0,Winter,0,14.57,2,5,3
Bungalow,9,1,1,1.21,6.63,24,1.25,1.24,7.01,4.63,0.66,2.3,10,27.0,Saturday,1,Spring,0,18.14,1,2,1
Portion/Rented Unit,8,6,3,3.36,7.74,24,0.79,1.85,10.15,5.36,0.74,3.89,9,10.7,Saturday,1,Winter,0,22.43,3,2,3
Independent House,3,2,2,1.31,8.07,24,1.22,1.24,7.59,6.94,0.43,2.71,14,12.3,Sunday,1,Winter,0,15.61,2,3,3
Independent House,3,1,1,5.93,10.7,24,0.04,0.56,6.57,3.96,0.48,2.7,11,42.9,Friday,0,Summer,1,18.06,2,0,2
Independent House,3,7,0,0.0,14.87,24,0.57,0.53,4.67,0.41,0.23,1.97,12,35.9,Thursday,0,Monsoon,0,8.34,2,4,0
Apartment,4,4,3,1.14,10.35,24,1.35,1.19,6.1,5.15,0.05,2.17,12,29.0,Sunday,1,Monsoon,0,39.55625,0,3,0
Portion/Rented Unit,9,2,2,5.93,18.05,24,1.24,1.83,4.48,3.93,0.11,0.34,13,38.6,Monday,0,Summer,1,21.62,3,1,2
Portion/Rented Unit,3,5,2,0.34,9.5,24,0.64,2.1,8.5,6.38,0.28,3.01,13,27.1,Wednesday,0,Monsoon,0,7.88,3,6,0
Portion/Rented Unit,3,6,1,0.0,10.69,24,0.37,1.14,9.05,4.27,0.53,3.44,5,25.8,Tuesday,0,Monsoon,1,9.38,3,5,0
Bungalow,3,5,0,0.0,6.62,24,0.76,1.5,8.37,3.58,0.2,2.76,11,32.8,Tuesday,0,Summer,0,14.85,1,5,2
Apartment,6,3,1,11.06,10.96,24,2.46,1.8,6.19,4.34,0.1,2.23,7,36.7,Monday,0,Monsoon,0,24.64,0,1,0
Bungalow,9,4,1,5.27,14.93,24,0.25,1.55,10.17,4.25,0.01,3.49,6,37.4,Friday,0,Summer,0,29.08,1,0,2
Portion/Rented Unit,7,3,3,3.01,16.8,24,0.91,2.28,6.19,8.61,0.28,2.98,10,20.2,Sunday,1,Spring,0,21.46,3,3,1
Portion/Rented Unit,3,3,1,0.0,4.55,24,0.73,0.87,7.72,3.23,0.11,1.95,11,29.4,Wednesday,0,Spring,0,6.97,3,6,1
Apartment,4,5,0,0.0,11.91,24,0.08,0.35,4.15,4.16,0.15,3.13,13,32.8,Tuesday,0,Monsoon,1,11.76,0,5,0
Portion/Rented Unit,6,3,1,1.66,6.94,24,0.08,0.44,6.21,0.95,0.28,0.62,12,18.8,Tuesday,0,Spring,0,7.1,3,5,1
Apartment,9,6,1,0.0,10.12,24,1.59,1.73,5.89,2.38,0.13,1.38,12,24.9,Saturday,1,Spring,0,9.84,0,2,1
Portion/Rented Unit,7,5,1,6.87,9.23,24,0.17,1.11,6.66,4.13,0.18,2.4,14,39.1,Thursday,0,Summer,0,19.52,3,4,2
Apartment,7,5,0,0.0,5.34,24,0.33,0.91,9.78,7.82,0.34,2.9,5,7.6,Wednesday,0,Winter,0,11.65,0,6,3
Apartment,2,6,2,9.96,9.78,24,0.86,0.96,3.62,9.48,0.02,3.9,9,40.6,Sunday,1,Summer,0,35.8,0,3,2
Portion/Rented Unit,3,5,0,0.0,11.07,24,0.1,1.5,6.52,2.9,1.07,1.33,11,34.7,Thursday,0,Monsoon,0,6.68,3,4,0
Independent House,2,4,0,0.0,18.36,24,1.2,1.24,7.86,8.07,0.57,2.95,8,27.9,Sunday,1,Spring,0,10.85,2,3,1
Portion/Rented Unit,7,4,3,1.63,8.82,24,1.01,1.01,11.77,5.1,0.16,0.99,12,28.7,Friday,0,Spring,0,13.51,3,0,1
Apartment,3,1,1,0.33,1.44,24,0.01,0.29,9.12,3.22,0.05,1.77,5,16.6,Wednesday,0,Winter,0,6.92,0,6,3
Independent House,9,5,3,8.64,10.48,24,0.07,1.07,3.12,5.71,0.1,3.21,8,35.6,Friday,0,Summer,0,39.55625,2,0,2
Portion/Rented Unit,8,3,1,1.64,1.22,24,0.02,1.3,7.16,5.54,0.4,2.98,7,12.7,Tuesday,0,Winter,0,9.31,3,5,3
Apartment,7,2,2,6.57,7.91,24,0.69,0.0,5.43,6.2,0.29,3.96,9,33.2,Thursday,0,Monsoon,0,26.75,0,4,0
Bungalow,9,3,2,0.59,6.89,24,0.1,0.63,5.5,3.01,0.31,4.33,9,16.4,Wednesday,0,Winter,0,23.22,1,6,3
Portion/Rented Unit,5,3,0,0.0,11.7,24,1.04,1.43,6.95,4.46,0.19,2.78,7,34.2,Monday,0,Monsoon,1,8.29,3,1,0
Apartment,7,3,2,13.38,8.07,24,0.77,0.34,5.59,3.43,0.09,2.99,5,32.2,Saturday,1,Monsoon,0,39.55625,0,2,0
Independent House,3,4,1,2.67,5.0,24,1.2,0.0,3.28,7.78,0.19,1.98,10,21.8,Sunday,1,Spring,1,12.5,2,3,1
Independent House,4,1,0,0.0,15.54,24,1.59,1.25,5.08,3.8,0.09,3.51,14,42.6,Sunday,1,Summer,0,13.36,2,3,2
Independent House,2,4,0,0.0,17.48,24,0.53,0.14,3.95,4.49,0.25,2.09,11,34.2,Thursday,0,Monsoon,0,11.33,2,4,0
Apartment,4,4,0,0.0,14.41,24,1.79,1.59,4.61,8.0,1.72,1.6,5,27.5,Saturday,1,Monsoon,0,11.08,0,2,0
Apartment,2,2,2,5.53,11.5,24,0.2,0.92,6.85,6.0,0.12,2.71,9,31.2,Friday,0,Monsoon,0,24.09,0,0,0
Independent House,8,5,3,1.31,2.77,24,2.17,0.0,7.85,6.94,0.19,1.92,14,7.0,Monday,0,Winter,0,16.68,2,1,3
Apartment,3,4,1,5.01,11.59,24,0.52,1.31,3.07,6.09,0.09,0.0,11,42.0,Sunday,1,Summer,0,11.62,0,3,2
Independent House,3,5,0,0.0,13.68,24,0.94,2.3,2.5,3.19,0.25,2.46,10,37.4,Saturday,1,Summer,0,11.21,2,2,2
Bungalow,7,2,1,0.36,9.79,24,0.61,1.07,3.95,8.37,0.42,2.98,11,26.9,Saturday,1,Monsoon,1,17.47,1,2,0
Apartment,4,5,3,1.73,9.84,24,2.15,1.71,6.92,3.97,0.0,2.48,6,28.5,Thursday,0,Monsoon,0,15.49,0,4,0
Apartment,4,4,0,0.0,9.03,24,0.33,0.59,7.66,2.55,0.09,0.12,6,22.8,Friday,0,Spring,0,5.3,0,0,1
Apartment,7,3,3,2.66,7.04,24,0.52,2.15,9.94,1.16,0.26,1.31,7,16.4,Friday,0,Winter,0,20.96,0,0,3
Portion/Rented Unit,8,1,1,0.76,8.54,24,0.13,2.47,7.89,4.41,0.03,3.08,8,10.6,Tuesday,0,Winter,0,10.86,3,5,3
Independent House,8,3,3,0.0,15.94,24,0.76,1.45,6.77,7.2,0.02,1.13,13,12.8,Sunday,1,Winter,1,13.54,2,3,3
Apartment,4,1,1,0.42,9.17,24,0.36,1.11,10.78,4.61,0.95,2.97,11,13.4,Friday,0,Winter,1,12.87,0,0,3
Portion/Rented Unit,3,1,0,0.0,13.34,24,0.08,0.54,7.73,3.26,0.03,1.67,14,29.4,Monday,0,Monsoon,0,7.37,3,1,0
Apartment,3,3,3,0.37,5.02,24,0.3,0.6,2.67,3.59,0.04,1.54,7,12.0,Friday,0,Winter,0,6.82,0,0,3
Independent House,7,5,3,2.34,8.01,24,1.39,0.89,9.14,3.19,0.35,2.61,12,13.8,Saturday,1,Winter,0,21.12,2,2,3
Apartment,5,2,0,0.0,8.6,24,0.97,0.61,6.71,9.63,1.05,1.11,7,27.5,Sunday,1,Monsoon,0,10.17,0,3,0
Bungalow,5,4,0,0.0,12.35,24,1.02,1.18,2.27,6.04,0.1,1.5,10,28.7,Thursday,0,Spring,0,15.88,1,4,1
Bungalow,2,5,3,0.79,10.9,24,0.04,1.35,7.52,0.66,0.08,2.3,13,12.0,Monday,0,Winter,0,18.31,1,1,3
Apartment,3,6,3,2.96,13.76,24,0.91,0.67,6.14,4.13,0.03,2.44,11,45.1,Sunday,1,Summer,0,22.17,0,3,2
Independent House,2,1,0,0.0,13.9,24,1.01,1.73,8.72,5.56,0.54,0.8,6,32.2,Wednesday,0,Monsoon,1,6.96,2,6,0
Apartment,7,4,1,1.15,6.97,24,1.03,0.65,9.26,3.82,0.19,2.21,11,9.2,Friday,0,Winter,0,11.71,0,0,3
Apartment,4,6,2,6.46,13.11,24,2.0,0.99,1.63,4.55,0.08,2.46,8,36.7,Tuesday,0,Summer,0,29.38,0,5,2
Portion/Rented Unit,7,4,1,1.33,6.68,24,0.59,1.38,8.92,5.49,0.23,1.1,9,19.3,Monday,0,Winter,0,8.65,3,1,3
Portion/Rented Unit,2,6,1,5.44,15.39,24,0.36,1.23,5.35,3.98,0.16,1.1,12,34.3,Monday,0,Monsoon,0,11.97,3,1,0
Portion/Rented Unit,2,2,0,0.0,9.0,24,0.97,1.16,3.41,5.29,0.17,3.63,9,36.9,Saturday,1,Summer,0,6.58,3,2,2
Bungalow,8,4,3,6.69,6.79,24,0.36,1.37,7.52,6.45,0.23,3.78,6,34.8,Tuesday,0,Summer,0,39.55625,1,5,2
Portion/Rented Unit,6,1,1,3.98,13.97,24,0.4,1.04,6.6,0.0,0.04,2.48,14,37.7,Tuesday,0,Summer,0,12.11,3,5,2
Portion/Rented Unit,4,2,2,1.14,11.46,24,1.97,0.53,8.76,9.57,0.97,2.15,11,25.3,Sunday,1,Spring,0,12.63,3,3,1
Apartment,5,4,1,9.76,11.76,24,0.93,1.86,6.13,2.72,0.05,1.53,13,34.1,Wednesday,0,Monsoon,0,20.22,0,6,0
Portion/Rented Unit,3,6,3,1.66,7.0,24,1.79,0.0,8.06,0.0,0.76,1.68,14,8.9,Friday,0,Winter,0,13.17,3,0,3
Bungalow,8,4,0,0.0,5.85,24,3.4,2.54,5.38,3.9,0.12,2.16,12,25.1,Thursday,0,Spring,0,21.08,1,4,1
Apartment,3,6,2,0.87,9.18,24,2.63,1.48,6.8,6.37,0.11,0.0,8,27.5,Sunday,1,Monsoon,0,10.48,0,3,0
Portion/Rented Unit,5,3,2,2.65,7.45,24,0.64,1.27,7.11,3.37,0.73,2.83,13,11.3,Saturday,1,Winter,0,15.0,3,2,3
Apartment,3,4,3,6.17,14.66,24,0.27,1.09,7.16,2.27,0.33,1.76,8,35.2,Monday,0,Summer,0,34.67,0,1,2
Apartment,4,1,0,0.0,9.73,24,0.81,1.89,5.81,2.43,0.03,0.44,11,22.3,Friday,0,Spring,0,8.3,0,0,1
Portion/Rented Unit,4,1,0,0.0,12.57,24,1.16,0.98,7.86,4.1,0.14,2.13,14,14.6,Monday,0,Winter,0,10.07,3,1,3
Portion/Rented Unit,3,5,1,1.33,6.22,24,0.63,1.55,6.74,3.54,0.1,3.06,7,8.8,Saturday,1,Winter,1,8.25,3,2,3
Bungalow,6,2,1,2.89,8.76,24,1.29,0.0,7.23,6.83,0.27,4.14,14,16.9,Sunday,1,Winter,0,26.51,1,3,3
Independent House,9,4,2,2.19,7.84,24,0.32,1.67,10.93,7.69,0.07,1.49,11,12.2,Monday,0,Winter,1,20.2,2,1,3
Independent House,7,7,3,0.0,7.96,24,0.98,1.33,6.65,5.16,0.02,1.97,12,27.4,Wednesday,0,Spring,0,14.07,2,6,1
Apartment,8,4,0,0.0,7.55,24,0.12,1.59,7.58,4.5,0.38,3.02,5,33.4,Tuesday,0,Spring,0,8.71,0,5,1
Apartment,6,2,2,0.41,11.92,24,0.14,2.1,4.83,0.0,0.16,1.89,14,22.4,Thursday,0,Spring,0,12.67,0,4,1
Bungalow,3,5,2,3.12,9.2,24,1.49,0.43,11.04,5.14,0.07,1.31,7,12.7,Thursday,0,Winter,0,24.56,1,4,3
Apartment,6,7,3,10.29,7.48,24,0.5,1.19,2.51,2.9,0.12,1.66,8,29.6,Saturday,1,Monsoon,0,39.55625,0,2,0
Portion/Rented Unit,9,4,1,7.75,12.08,24,0.62,0.61,1.46,5.08,0.31,1.8,8,39.2,Sunday,1,Summer,0,15.88,3,3,2
Independent House,7,4,0,0.0,6.22,24,0.74,1.12,5.33,4.51,0.33,0.88,8,22.8,Friday,0,Spring,0,11.02,2,0,1
Independent House,3,3,2,3.73,13.5,24,2.36,1.52,6.72,1.56,0.17,2.75,9,36.2,Friday,0,Summer,0,20.38,2,0,2
Apartment,9,2,2,1.14,15.37,24,1.07,0.48,8.25,7.93,0.05,1.64,11,24.7,Thursday,0,Spring,1,12.92,0,4,1
Apartment,6,2,1,11.9,12.6,24,0.85,1.22,7.2,5.06,0.31,1.88,11,33.3,Thursday,0,Monsoon,0,24.29,0,4,0
Bungalow,9,3,0,0.0,6.43,24,3.38,1.78,5.36,5.73,0.12,1.45,10,33.9,Sunday,1,Monsoon,0,17.95,1,3,0
Independent House,7,3,2,10.21,10.62,24,2.94,0.53,7.61,3.01,0.12,1.53,11,36.4,Sunday,1,Monsoon,0,39.55625,2,3,0
Bungalow,8,6,2,1.64,10.68,24,0.51,1.11,8.73,5.79,0.05,1.58,14,5.2,Friday,0,Winter,0,24.06,1,0,3
Portion/Rented Unit,6,6,0,0.0,11.56,24,0.73,1.16,6.37,5.19,0.15,0.0,10,33.3,Tuesday,0,Monsoon,0,4.5,3,5,0
Apartment,5,2,1,2.35,11.17,24,0.6,0.84,6.91,0.0,0.35,3.15,7,22.9,Sunday,1,Spring,0,13.53,0,3,1
Apartment,8,5,0,0.0,15.03,24,0.67,2.41,6.09,6.65,0.09,0.55,10,36.1,Sunday,1,Monsoon,0,8.31,0,3,0
Apartment,9,5,0,0.0,14.77,24,1.81,1.18,7.92,4.16,0.03,2.53,12,36.9,Sunday,1,Summer,0,13.37,0,3,2
Independent House,7,4,2,0.35,9.91,24,3.4,1.47,8.3,8.36,0.05,1.81,11,26.0,Saturday,1,Spring,0,16.02,2,2,1
Apartment,7,3,1,0.95,6.48,24,0.58,0.99,7.49,5.73,0.02,3.69,7,25.8,Sunday,1,Spring,1,11.44,0,3,1
Apartment,3,2,0,0.0,8.6,24,0.13,0.97,8.46,6.87,0.01,0.71,9,24.8,Wednesday,0,Spring,0,21.870038268670065,0,6,1
Apartment,8,1,1,1.19,5.9,24,0.72,0.7,4.96,3.56,0.07,3.0,14,26.1,Sunday,1,Spring,1,14.58,0,3,1
Independent House,3,2,2,0.34,9.56,24,2.0,1.42,10.8,0.01,0.21,3.22,5,5.8,Monday,0,Winter,0,13.08,2,1,3
Portion/Rented Unit,2,5,3,6.94,8.54,24,0.97,1.95,3.32,2.66,1.2,0.73,5,31.0,Tuesday,0,Monsoon,1,31.07,3,5,0
Independent House,7,4,2,2.06,12.77,24,0.22,2.66,7.81,3.55,0.15,1.83,7,26.0,Monday,0,Monsoon,0,21.25,2,1,0
Independent House,2,6,2,0.18,11.37,24,1.94,0.0,6.69,5.2,0.7,1.43,10,27.9,Sunday,1,Monsoon,1,11.65,2,3,0
Portion/Rented Unit,4,3,3,5.97,15.39,24,0.19,1.61,6.41,5.0,0.19,1.48,6,41.1,Wednesday,0,Summer,0,24.4,3,6,2
Portion/Rented Unit,2,4,3,0.9,7.79,24,2.37,0.77,8.43,4.82,0.08,2.56,8,17.6,Saturday,1,Winter,1,10.15,3,2,3
